Frame, Inference_Time(ms), CPU(%), RAM(MB), GPU_Mem(MB)
536, 9.99, 20.0, 3104.82, 52.39
537, 10.01, 25.0, 3104.82, 52.39
538, 9.98, 25.0, 3104.89, 52.39
539, 9.97, 26.7, 3104.89, 52.39
540, 10.05, 20.0, 3104.89, 52.39
541, 10.05, 21.4, 3104.89, 52.39
542, 10.02, 26.7, 3104.73, 52.39
543, 10.00, 26.7, 3104.73, 52.39
544, 9.97, 20.0, 3104.73, 52.39
545, 9.93, 21.4, 3104.73, 52.39
546, 10.11, 31.2, 3104.73, 52.39
547, 9.96, 15.4, 3104.73, 52.39
548, 9.97, 29.4, 3104.80, 52.39
549, 10.04, 21.4, 3104.80, 52.39
550, 9.95, 21.4, 3104.80, 52.39
551, 9.97, 25.0, 3104.80, 52.39
552, 10.06, 15.4, 3104.80, 52.39
553, 9.98, 29.4, 3104.80, 52.39
554, 9.93, 31.2, 3104.80, 52.39
555, 9.87, 21.4, 3104.80, 52.39
556, 10.08, 20.0, 3104.80, 52.39
557, 10.15, 28.6, 3105.05, 52.39
558, 10.11, 26.7, 3104.96, 52.39
559, 9.95, 20.0, 3104.96, 52.39
560, 10.02, 21.4, 3104.96, 52.39
561, 11.35, 25.0, 3104.96, 52.39
562, 10.05, 25.0, 3104.96, 52.39
563, 9.94, 31.2, 3104.96, 52.39
564, 9.97, 20.0, 3104.96, 52.39
565, 9.99, 31.2, 3104.96, 52.39
566, 9.94, 21.4, 3104.96, 52.39
567, 10.04, 20.0, 3104.96, 52.39
568, 9.97, 29.4, 3105.04, 52.39
569, 9.88, 21.4, 3105.04, 52.39
570, 9.98, 20.0, 3105.04, 52.39
571, 9.99, 26.7, 3105.04, 52.39
572, 10.05, 20.0, 3105.04, 52.39
573, 10.04, 31.2, 3105.04, 52.39
574, 9.93, 20.0, 3105.04, 52.39
575, 9.88, 20.0, 3105.04, 52.39
576, 10.12, 26.7, 3105.04, 52.39
577, 9.93, 25.0, 3105.04, 52.39
578, 9.86, 21.4, 3104.95, 52.39
579, 9.95, 31.2, 3104.95, 52.39
580, 9.96, 20.0, 3104.95, 52.39
581, 9.82, 21.4, 3104.95, 52.39
582, 9.95, 25.0, 3104.95, 52.39
583, 9.96, 23.5, 3104.89, 52.39
584, 10.00, 20.0, 3104.89, 52.39
585, 9.99, 20.0, 3104.89, 52.39
586, 10.05, 25.0, 3104.96, 52.39
587, 9.95, 20.0, 3104.96, 52.39
588, 10.03, 20.0, 3104.96, 52.39
589, 10.04, 20.0, 3104.96, 52.39
590, 10.07, 26.7, 3106.20, 52.39
591, 9.96, 25.0, 3106.20, 52.39
592, 9.93, 25.0, 3106.20, 52.39
593, 9.94, 25.0, 3106.27, 52.39
594, 10.34, 29.4, 3106.27, 52.39
595, 10.02, 20.0, 3106.27, 52.39
596, 10.02, 26.7, 3106.27, 52.39
597, 10.05, 31.2, 3106.27, 52.39
598, 10.06, 29.4, 3106.27, 52.39
599, 10.01, 25.0, 3106.27, 52.39
600, 10.06, 25.0, 3106.27, 52.39
601, 10.03, 20.0, 3106.27, 52.39
