Frame,Preprocess (ms),Inference (ms),Postprocess (ms)
450,5.33,38.74,5.60
451,5.05,37.78,6.17
452,5.23,39.69,5.85
453,5.59,41.05,5.88
454,4.96,37.50,5.95
455,5.18,39.13,5.97
456,5.16,39.59,6.25
457,5.27,39.63,6.30
458,5.24,39.70,6.03
459,5.32,36.87,5.78
460,4.94,37.51,5.91
461,5.21,39.62,5.94
462,5.25,38.78,5.81
463,5.05,38.12,5.89
464,5.02,40.67,5.70
465,5.28,39.70,5.77
466,5.25,38.21,5.59
467,5.06,37.70,5.82
468,5.17,39.02,5.71
469,5.22,40.89,5.78
470,5.36,37.19,5.40
471,4.84,37.52,5.54
472,5.16,39.04,5.63
473,5.32,39.60,5.67
474,5.10,39.63,5.50
475,4.93,37.63,5.68
476,5.09,39.11,5.70
477,5.22,38.16,5.52
478,4.84,37.51,5.65
479,5.10,38.22,5.69
480,5.21,40.44,5.78
481,5.50,40.72,5.72
482,4.99,37.68,5.77
483,5.37,38.58,5.73
484,5.32,40.59,5.91
485,5.11,37.55,5.80
486,5.02,37.49,5.87
487,5.16,39.36,6.22
488,5.34,40.48,5.90
489,4.94,37.61,6.35
490,5.28,39.27,6.44
491,5.34,39.95,5.93
492,5.11,37.39,6.17
493,5.29,39.31,6.00
494,5.41,39.66,5.87
495,4.89,37.50,5.94
496,4.66,39.34,5.93
497,4.68,39.84,5.82
498,4.71,39.58,5.84
499,4.74,39.08,5.83
500,4.37,37.54,5.88
501,4.54,39.47,5.90
502,4.67,39.64,5.93
503,4.64,40.95,5.90
504,4.70,38.46,5.58
505,4.37,37.66,5.84
506,4.58,40.81,5.82
507,4.68,40.54,5.82
508,4.73,38.17,5.62
509,4.41,37.44,5.75
510,4.58,40.48,5.66
511,4.67,41.85,5.88
512,4.66,40.81,5.63
513,4.77,39.86,5.62
514,4.39,37.35,5.65
515,4.58,40.71,5.77
516,4.67,39.98,5.69
517,4.70,39.35,5.52
518,4.38,39.30,5.59
519,4.55,39.10,5.62
520,4.65,37.96,5.56
521,4.38,37.69,5.62
522,4.59,39.04,5.68
523,4.65,40.91,5.74
524,4.67,39.96,5.61
525,4.57,37.36,5.70
526,4.58,39.21,5.77
527,4.72,36.99,5.56
528,4.35,37.60,5.95
529,4.56,40.69,5.71
530,4.64,39.73,5.79
531,4.68,40.59,5.91
532,4.66,38.74,5.82
533,4.37,37.52,5.93
534,4.71,39.64,5.75
535,4.65,40.13,5.73
536,4.41,37.79,5.89
537,4.56,39.09,5.95
538,4.64,39.66,6.25
539,4.72,39.69,6.25
540,4.73,39.64,6.22
541,4.69,40.68,6.37
542,4.69,36.43,5.83
543,4.42,37.82,6.20
544,4.69,39.60,6.27
545,4.67,39.62,6.27
546,4.68,39.69,6.52
547,4.75,36.63,5.73
548,4.38,37.66,5.85
549,4.69,39.62,5.92
550,4.64,38.34,5.51
551,4.39,37.42,5.72
552,4.55,40.46,5.70
553,4.68,39.73,5.75
