Frame, Inference_Time(ms), CPU(%), RAM(MB), GPU_Mem(MB)
353, 11.60, 21.1, 3102.47, 52.39
354, 11.73, 21.1, 3102.47, 52.39
355, 11.58, 26.3, 3102.39, 52.39
356, 12.00, 23.5, 3102.39, 52.39
357, 11.69, 26.3, 3102.23, 52.39
358, 11.63, 22.2, 3102.23, 52.39
359, 11.79, 25.0, 3102.23, 52.39
360, 11.66, 27.8, 3102.23, 52.39
361, 11.78, 21.1, 3102.23, 52.39
362, 11.63, 29.4, 3102.23, 52.39
363, 12.78, 26.3, 3102.30, 52.39
364, 11.74, 31.6, 3102.30, 52.39
365, 12.14, 28.6, 3102.30, 52.39
366, 11.62, 26.3, 3102.30, 52.39
367, 11.68, 30.0, 3102.30, 52.39
368, 11.65, 26.3, 3102.30, 52.39
369, 14.26, 30.4, 3102.14, 52.39
370, 11.79, 30.0, 3102.14, 52.39
371, 11.97, 28.6, 3102.14, 52.39
372, 11.74, 30.0, 3102.14, 52.39
373, 11.78, 25.0, 3102.14, 52.39
374, 11.65, 27.8, 3101.97, 52.39
375, 12.24, 36.4, 3101.97, 52.39
376, 11.65, 16.7, 3101.97, 52.39
377, 11.78, 25.0, 3101.84, 52.39
378, 11.76, 28.6, 3101.84, 52.39
379, 11.68, 22.2, 3101.84, 52.39
380, 11.62, 23.8, 3101.51, 52.39
381, 11.75, 26.3, 3101.51, 52.39
382, 11.56, 20.0, 3101.51, 52.39
383, 11.79, 26.3, 3101.51, 52.39
384, 11.83, 25.0, 3101.51, 52.39
385, 11.84, 30.0, 3101.42, 52.39
386, 11.60, 17.6, 3101.25, 52.39
387, 11.68, 21.1, 3101.25, 52.39
388, 11.92, 30.0, 3101.25, 52.39
389, 11.70, 31.8, 3101.25, 52.39
390, 11.69, 22.2, 3101.25, 52.39
391, 11.61, 20.0, 3101.25, 52.39
392, 13.07, 25.0, 3100.92, 52.39
393, 11.78, 21.1, 3101.16, 52.39
394, 12.39, 36.8, 3102.64, 52.39
395, 11.85, 28.6, 3102.64, 52.39
396, 11.61, 22.2, 3102.59, 52.39
397, 11.61, 22.2, 3102.59, 52.39
398, 11.60, 26.3, 3102.42, 52.39
399, 11.64, 30.0, 3102.42, 52.39
400, 11.63, 25.0, 3102.42, 52.39
401, 12.44, 31.8, 3102.35, 52.39
402, 11.60, 28.6, 3102.35, 52.39
403, 11.64, 25.0, 3102.35, 52.39
404, 12.04, 25.0, 3102.43, 52.39
405, 11.53, 28.6, 3102.43, 52.39
406, 11.84, 26.3, 3102.43, 52.39
407, 11.59, 22.2, 3102.43, 52.39
408, 11.58, 25.0, 3102.43, 52.39
409, 11.60, 22.2, 3102.43, 52.39
410, 11.64, 25.0, 3102.26, 52.39
411, 11.60, 21.1, 3102.26, 52.39
412, 11.78, 28.6, 3102.26, 52.39
413, 11.63, 30.0, 3102.26, 52.39
414, 11.71, 22.2, 3102.26, 52.39
415, 12.90, 31.8, 3101.81, 52.39
416, 11.73, 17.6, 3101.81, 52.39
417, 12.46, 30.0, 3101.81, 52.39
418, 11.70, 26.3, 3101.81, 52.39
419, 11.79, 26.3, 3101.81, 52.39
420, 11.64, 26.3, 3101.81, 52.39
